mundial,fecha,equipo1,equipo2,equipo_gol,jugador_gol,minuto_gol,fuente
Copa Mundial de la FIFA Italia 1934,1934/6/07,Alemania,Austria,GER,Ernest LEHNER,1,http://es.fifa.com/tournaments/archive/worldcup/italy1934/matches/round=3491/match=1105/index.html
Copa Mundial de la FIFA Italia 1934,1934/6/07,Alemania,Austria,GER,Edmund CONEN,27,http://es.fifa.com/tournaments/archive/worldcup/italy1934/matches/round=3491/match=1105/index.html
Copa Mundial de la FIFA Italia 1934,1934/6/07,Alemania,Austria,AUT,Johann HORVATH,28,http://es.fifa.com/tournaments/archive/worldcup/italy1934/matches/round=3491/match=1105/index.html
Copa Mundial de la FIFA Italia 1934,1934/6/07,Alemania,Austria,GER,Ernest LEHNER,42,http://es.fifa.com/tournaments/archive/worldcup/italy1934/matches/round=3491/match=1105/index.html
Copa Mundial de la FIFA Italia 1934,1934/6/07,Alemania,Austria,AUT,Karl SESTA,54,http://es.fifa.com/tournaments/archive/worldcup/italy1934/matches/round=3491/match=1105/index.html
Copa Mundial de la FIFA Italia 1934,1934/5/27,Checoslovaquia,Rumanía,ROU,Stefan DOBAY,11,http://es.fifa.com/tournaments/archive/worldcup/italy1934/matches/round=204/match=1141/index.html
Copa Mundial de la FIFA Italia 1934,1934/5/27,Checoslovaquia,Rumanía,TCH,Antonin PUC,50,http://es.fifa.com/tournaments/archive/worldcup/italy1934/matches/round=204/match=1141/index.html
Copa Mundial de la FIFA Italia 1934,1934/5/27,Checoslovaquia,Rumanía,TCH,Oldrich NEJEDLY,67,http://es.fifa.com/tournaments/archive/worldcup/italy1934/matches/round=204/match=1141/index.html
Copa Mundial de la FIFA Italia 1934,1934/5/27,Suiza,Países Bajos,SUI,Leopold KIELHOLZ,7,http://es.fifa.com/tournaments/archive/worldcup/italy1934/matches/round=204/match=1133/index.html
Copa Mundial de la FIFA Italia 1934,1934/5/27,Suiza,Países Bajos,NED,Kick SMIT,29,http://es.fifa.com/tournaments/archive/worldcup/italy1934/matches/round=204/match=1133/index.html
Copa Mundial de la FIFA Italia 1934,1934/5/27,Suiza,Países Bajos,SUI,Leopold KIELHOLZ,43,http://es.fifa.com/tournaments/archive/worldcup/italy1934/matches/round=204/match=1133/index.html
